vine_id,aic_vine,aic_dissmann,aic_fixed_matrix_clayton,aic_ground_truth
61,-3353.811301,-3145.6404742908803,-3715.121921242668,-3900.4435379976235
61,-3762.063594,-3558.501397237284,-3945.1063785699002,-4153.012655807359
61,-3723.945229,-3345.807988297582,-4094.638831041905,-4139.958414286419
61,-3569.819784,-3371.1309514444833,-3918.259924316093,-4002.003452848715
60,-3495.373758,-3161.0152825324553,-3811.734125092594,-3948.4470689133614
62,-3687.460000,-3383.5057386075696,-4078.719770822676,-4104.817061938652
64,-3711.183954,-3547.263856012737,-4103.011636942473,-4126.838696253348
61,-3387.140234,-3199.7101878598846,-3753.6282042087496,-3889.8727750830353
61,-3669.787926,-3480.5086630922615,-4081.0500699102167,-4123.601637751724
62,-3715.540850,-3414.53490926072,-3975.0328542048615,-4067.5944657949935
62,-3630.863506,-3256.6325925470383,-3805.144793827367,-3938.892916243649
61,-3780.969238,-3514.648877487457,-4024.8317126405277,-4104.938334786635
61,-3859.324557,-3630.979287250988,-4303.849696363637,-4344.193295271287
407,-3800.179617,-3520.914417171036,-4109.483672201962,-4132.530806253466
63,-3349.727816,-3083.9918008713903,-3707.986078234012,-3763.9023092935627
61,-3595.144859,-3441.1694031921925,-4001.178365881189,-4044.9024670639274
61,-3770.998645,-3552.1090604679575,-3961.0117588453218,-4056.792840388688
62,-3513.920150,-3307.905736832125,-3824.9656466824003,-3894.052915556805
61,-3435.559494,-3236.017759083756,-3881.823488381163,-3935.6233118916025
361,-3312.187279,-3296.9262319423924,-3913.2457349404503,-3948.668898722706
60,-3623.047228,-3484.047472594337,-4033.9498441486794,-4058.24341887521
62,-3697.659695,-3342.9579392540604,-3908.5905875993863,-3996.730425063004
62,-3727.354219,-3511.9743337487093,-4119.161318236765,-4151.988491503087
108,-3403.535880,-3345.4106452138526,-3756.394962008092,-3880.2734893133593
61,-3655.763248,-3451.800214025396,-4052.5106487837743,-4085.2296982956705
62,-3528.541613,-3367.8136007749745,-3860.8843646261466,-3984.064566112401
62,-3632.898852,-3413.8628192164,-3963.553307434127,-3982.2960351696097
61,-3514.000428,-3339.170202438184,-3977.599824248782,-3995.832252622872
61,-3740.443879,-4837.206589781846,-4142.3148534771935,-4146.927931706485
61,-3690.514015,-3338.704608485841,-4057.347447490839,-4070.0707374123185
63,-3673.038625,-3556.532306280019,-4078.375547331255,-4135.559748562422
61,-3355.367393,-3126.473915807266,-3718.144514672826,-3769.568983636118
61,-3487.517910,-3225.242677640903,-3774.2873949756267,-3827.753978214787
60,-3563.420008,-3349.245438998566,-4005.93763455484,-4133.0228407987115
61,-3344.992013,-3044.161866036534,-3750.06226197853,-3781.5288859292887
60,-3709.392148,-3610.7009149292744,-4105.018406621505,-4142.867949820866
61,-3625.991871,-3343.1369282039036,-3935.7268454948103,-3985.8498927084565
25,-3380.431399,-3159.8258128337757,-3818.674598788903,-3908.658027351421
61,-3452.969380,-3141.1052447987504,-3773.986442910165,-3914.5431122967193
63,-3654.653134,-3454.604513763897,-4084.7180907787897,-4214.548802158622
60,-3649.447940,-3319.65966894707,-3913.0968050591882,-4031.7655089646487
76,-3447.198272,-3222.591190731261,-3959.6381139094588,-4002.6568056150213
62,-3625.653479,-3399.542080654212,-3938.7738010272533,-3960.7057694215428
61,-3519.991924,-3305.731330863674,-3874.7851327651583,-3932.7209560459196
61,-3887.320145,-3442.497460467975,-4090.9105886514435,-4145.6610114290625
61,-3606.356780,-3363.1898466467997,-3968.807651989017,-3975.9800887906936
62,-3469.478339,-3246.4493883946884,-3859.0787592871466,-3882.0919833187445
62,-3713.259975,-3587.3573106754498,-4091.4022348330473,-4141.13061153328
61,-3551.098164,-3325.1462280773994,-3908.2928392835634,-3981.108453469285
61,-3637.157363,-3342.039621855894,-3932.700152724271,-3989.6595774654224
61,-3573.242272,-3408.3539729366234,-3983.0307121546066,-4023.601019327836
60,-3473.744931,-3261.7441170410107,-3917.085202662327,-3945.69317676462
61,-3531.767027,-3262.8145231193034,-3934.4407356222023,-3947.858704081193
60,-3604.189956,-3358.786563389011,-3952.2928646296823,-4041.3503149378753
64,-3434.710591,-3176.6336517197537,-3778.875943381765,-3894.340717189992
64,-3709.962912,-3544.088845312459,-4150.542700241852,-4236.400041659066
61,-3645.178321,-3258.9124350712004,-3974.850612699498,-4016.0568034527932
60,-3507.958768,-3310.040370561671,-3899.805737528934,-3917.014862455626
61,-3593.471355,-3438.849193654584,-4007.341992442923,-4070.798713750019
62,-3597.251715,-3304.8483163839896,-3832.191261942744,-4012.9956866520592
60,-3491.409400,-3287.8561982490173,-3870.1091007539326,-3932.005519081081
60,-3773.208040,-3542.6723095297993,-4047.720282007221,-4103.487182045138
61,-3440.658309,-3241.892273727114,-3736.0522949335436,-3858.8228092459476
61,-3847.655603,-3581.4029007211775,-4076.2000951225746,-4163.756274589172
60,-3674.391486,-3415.305281433472,-4019.4107365010614,-4156.466705427445
61,-3558.866918,-3239.9793105753156,-3893.174571913527,-3919.375406878661
61,-3593.133389,-3504.358212641918,-4130.589631691838,-4146.491949609349
61,-3553.927509,-3196.921912156857,-3782.545391685202,-3850.5354048213057
