t_local,ship_inbound,ship_length,ship_width,ship_draft,ship_sp_abs,ship_sp_rel,ship_acc,ship_blockage,ship_Fr,ship_dist_inst,ship_dist_shore,track_raw_dx,tidal_stage,tidal_current_wrt_ship,channel_top_width,channel_max_depth,channel_mean_depth,channel_cs,depression,H,peak_vel_withship,peak_vel_agship,peak_vel_onshore,peak_vel_offshore,peak_Efmag_long,peak_Efmag_cross,peak_Efmag_total,wave_energy,track_raw_nMC,track_raw_nUSACE
10/20/2017 00:30:50,1,175,28,7.7,6,7.32,0.036,0.0352,0.583,284,342,61,0.04,-1.32,638,16.07,9.55,6096,19,31,20,34,14,13,4.36,1.04,4.43,0.11,4,51
10/20/2017 04:20:56,1,228,32,9.5,6.03,5.73,-0.056,0.0568,0.473,261,293,636,-1.08,0.3,597,14.94,9.03,5402,36,57,49,71,34,19,4.95,1.33,4.96,0.37,5,0
10/20/2017 08:03:42,0,294,33,10.97,5.37,6.21,-0.01,0.0535,0.481,299,378,53,0.98,-0.84,662,17,10.11,6702,27,43,4,51,22,8,7.09,2.09,7.19,0.33,9,57
10/20/2017 12:34:31,1,277,40,10.57,5.51,6.78,0.167,0.0674,0.535,291,354,360,0.32,-1.26,645,16.35,9.72,6275,20,34,28,44,20,14,5.76,1.31,5.91,0.18,8,0
10/20/2017 13:06:04,1,294,32,10.69,4.74,6.02,0.103,0.0564,0.48,272,330,47,0.06,-1.28,638,16.09,9.56,6106,18,27,35,44,11,11,4.65,0.85,4.72,0.16,10,67
10/20/2017 14:14:09,0,228,32,9.45,7.37,6.59,0.035,0.0534,0.535,274,315,43,-0.57,0.78,613,15.45,9.3,5711,40,52,16,60,38,36,3.22,3.38,4.49,0.32,7,74
10/20/2017 15:10:57,1,306,40,10.08,5.75,6.42,0.142,0.0741,0.529,282,315,75,-1.01,-0.67,599,15.02,9.08,5445,59,91,98,88,48,25,11.54,3.77,11.86,0.65,9,40
10/20/2017 20:32:07,0,275,40,12.29,5.85,6.54,0.082,0.074,0.508,286,364,58,0.89,-0.69,662,16.92,10.03,6647,44,70,25,88,30,30,15.48,4,15.54,1,8,55
10/21/2017 00:24:46,0,210,30,8.05,7.92,6.97,-0.099,0.0386,0.55,289,352,509,0.31,0.95,644,16.33,9.71,6265,35,52,15,47,37,27,3.09,3.82,3.9,0.3,6,0
10/21/2017 03:06:02,0,180,30,10.16,5.81,5.4,-0.05,0.0561,0.445,287,319,398,-1.03,0.4,598,15,9.08,5434,24,33,18,37,16,12,0.89,0.6,0.89,0.11,8,0
10/21/2017 04:11:22,1,300,43,10.97,5.77,5.53,0.238,0.0889,0.459,300,330,51,-1.24,0.25,593,14.79,8.94,5309,42,70,110,94,33,27,8.29,2.63,8.69,0.74,8,62
10/21/2017 05:15:23,1,222,30,8.33,7.05,6.58,0.122,0.0454,0.541,277,311,490,-0.92,0.47,601,15.11,9.14,5503,41,61,46,65,44,29,4.82,2.42,4.84,0.3,6,0
10/21/2017 07:12:39,1,185,24,5.99,7.14,6.41,0.137,0.0229,0.508,323,384,46,0.22,0.73,643,16.25,9.65,6211,9,12,13,12,6,6,0.64,0.2,0.65,0.02,7,63
10/21/2017 12:03:01,0,294,32,11,7.48,6.77,0.06,0.0539,0.527,273,350,44,0.78,0.71,659,16.81,9.96,6574,62,96,27,102,49,36,12.69,8.3,15,1.2,6,69
10/21/2017 15:26:43,1,323,43,11.28,4.76,5.25,-0.049,0.0875,0.431,293,327,64,-0.89,-0.5,602,15.13,9.15,5516,44,65,72,79,29,20,8.97,1.93,8.98,0.62,8,52
10/21/2017 18:50:07,0,306,40,10.46,5.64,6.41,-0.022,0.0713,0.517,266,313,385,-0.31,-0.77,626,15.71,9.37,5871,72,103,38,123,32,41,27.81,4.99,28,1.45,8,0
10/21/2017 19:26:40,0,300,43,10.46,5.1,5.62,-0.261,0.0738,0.448,275,333,345,0.05,-0.53,638,16.07,9.55,6099,63,93,42,111,29,35,20.36,3.45,20.36,1.33,9,0
10/21/2017 19:45:10,1,304,40,10.24,6.91,6.22,0.152,0.0663,0.493,322,382,469,0.2,0.69,641,16.22,9.65,6195,18,41,33,66,15,15,4.56,1.3,4.56,0.34,6,0
10/21/2017 20:02:37,0,335,46,12.22,5.14,5.76,0.101,0.0889,0.454,306,370,333,0.35,-0.62,646,16.38,9.73,6294,45,70,10,93,23,40,16.41,2.03,16.41,1.03,9,0
10/21/2017 21:28:12,1,349,46,10.87,6.23,5.66,-0.149,0.0745,0.439,274,352,59,0.93,0.57,662,16.95,10.07,6669,30,44,31,57,17,17,5.68,0.9,5.69,0.36,8,48
10/21/2017 21:45:53,0,277,40,9.86,6.31,6.77,-0.008,0.0588,0.524,257,335,416,0.97,-0.46,662,17,10.11,6701,43,75,22,80,38,32,12.5,3.07,12.65,0.79,8,0
10/22/2017 05:05:37,1,294,32,10.77,3.98,4.24,-0.024,0.0645,0.351,286,317,281,-1.13,-0.26,596,14.9,9,5374,8,12,8,20,3,12,0.49,0.13,0.5,0.03,11,0
10/22/2017 05:54:12,0,243,32,8.74,6.24,6.69,0.037,0.0505,0.547,271,307,62,-0.81,-0.44,605,15.22,9.19,5568,56,74,31,90,36,38,13.31,3.62,13.4,0.62,7,44
10/22/2017 07:03:59,0,180,30,7.92,5.68,6.36,0.026,0.0401,0.511,296,346,56,-0.21,-0.68,630,15.82,9.41,5936,20,29,17,41,16,9,4.01,0.98,4.04,0.15,8,50
10/23/2017 01:48:23,0,304,40,11.46,7.24,6.45,0.025,0.0755,0.514,275,331,472,0.02,0.79,637,16.05,9.54,6082,72,109,31,111,63,52,13.74,9.62,16.35,1.35,6,0
10/23/2017 02:24:52,0,294,32,11.89,6.41,5.51,-0.042,0.0647,0.443,261,311,432,-0.25,0.9,628,15.78,9.4,5913,42,60,18,72,34,22,5.18,2.18,5.24,0.46,7,0
10/23/2017 03:11:44,0,353,43,11.68,6.52,5.83,-0.045,0.088,0.474,290,331,43,-0.62,0.69,612,15.4,9.28,5680,85,116,46,154,65,49,19.22,6.38,19.96,1.6,7,71
10/23/2017 03:32:31,0,335,43,11.46,5.03,4.29,0.001,0.0878,0.351,275,313,51,-0.79,0.74,607,15.24,9.19,5581,31,45,17,62,17,10,2.63,0.6,2.64,0.27,8,56
10/23/2017 03:50:40,1,294,33,10.77,5.98,6.42,0.126,0.0649,0.527,275,309,393,-0.91,-0.44,602,15.11,9.13,5505,61,103,98,113,43,32,14.01,3.54,14.2,1.18,8,0
10/23/2017 04:23:56,1,335,46,10.85,5.81,6.12,-0.207,0.0917,0.505,271,302,51,-1.1,-0.3,596,14.93,9.04,5396,62,94,97,89,93,35,10.99,5.36,11.58,0.62,8,57
10/23/2017 07:26:15,1,292,32,11.71,6.71,6.17,-0.008,0.065,0.498,314,359,46,-0.38,0.54,620,15.64,9.39,5827,38,57,46,74,20,23,5.47,1.72,5.49,0.39,7,76
10/23/2017 07:52:09,1,337,46,11.89,6.72,6.16,0.034,0.0908,0.494,313,365,67,-0.16,0.56,631,15.87,9.44,5967,57,84,66,104,34,37,11.38,4.27,11.38,0.79,7,40
10/23/2017 11:56:56,0,349,46,10.57,6.86,6.75,0.097,0.0723,0.523,315,393,55,0.95,0.11,662,16.98,10.09,6688,67,111,39,113,39,26,21.39,5.91,21.67,2.08,7,67
10/23/2017 20:21:39,1,337,48,11.89,6.32,5.83,-0.014,0.0977,0.469,293,341,63,-0.3,0.49,627,15.73,9.37,5879,60,96,71,99,34,31,14.49,3.81,14.68,1.19,7,43
10/23/2017 21:28:46,1,143,23,8.59,6.66,6.18,0.066,0.0322,0.491,295,354,450,0.14,0.49,639,16.17,9.62,6159,8,13,7,21,5,5,0.57,0.37,0.59,0.03,7,0
10/24/2017 01:46:59,0,294,33,10.36,6.7,6.13,-0.062,0.0566,0.489,287,343,47,0.01,0.57,637,16.04,9.53,6076,33,51,7,57,29,22,3.34,2.35,3.47,0.35,7,68
10/24/2017 02:30:58,0,300,48,12.12,6.56,5.87,0.008,0.0995,0.473,276,323,459,-0.32,0.69,626,15.71,9.37,5870,108,158,58,167,69,64,24.03,12.57,25.96,2.66,6,0
10/24/2017 03:53:58,1,261,32,10.87,5.76,6.43,0.032,0.0632,0.527,263,298,58,-0.86,-0.67,604,15.17,9.16,5537,44,70,77,83,34,22,10.42,2.28,10.5,0.45,8,52
10/24/2017 04:28:22,1,211,32,8.05,6.47,6.84,0.077,0.048,0.565,291,323,427,-1.06,-0.37,598,14.96,9.04,5415,46,72,67,73,43,28,8.17,2.38,8.28,0.39,7,0
10/24/2017 05:23:41,0,335,46,11.4,5.32,5.54,0.014,0.0979,0.46,264,294,54,-1.24,-0.22,593,14.79,8.94,5309,57,80,38,120,34,26,9.92,1.74,10.03,0.75,8,51
10/24/2017 05:49:48,1,318,40,8.76,7.07,6.92,0.197,0.0661,0.574,283,313,49,-1.24,0.15,593,14.78,8.94,5307,108,166,119,104,145,76,20.39,13.07,20.74,1.62,7,82
10/24/2017 07:43:36,1,333,43,11.86,6.67,6.28,0.131,0.0902,0.512,320,359,30,-0.7,0.39,609,15.32,9.23,5631,76,126,91,134,56,45,19.48,5.8,19.52,1.27,8,111
10/24/2017 09:46:42,1,265,32,8.28,6.35,5.81,0.272,0.0429,0.46,286,347,62,0.25,0.54,643,16.27,9.68,6226,9,13,7,19,4,6,0.28,0.2,0.28,0.04,7,52
10/24/2017 10:43:00,0,306,40,11.53,5.04,5.64,-0.011,0.0717,0.442,279,349,132,0.56,-0.61,651,16.59,9.86,6432,36,57,14,72,22,14,9.12,1.11,9.14,0.53,8,17
10/24/2017 11:28:28,0,337,46,9.14,5.5,5.96,-0.148,0.0635,0.464,312,389,53,0.77,-0.46,659,16.79,9.94,6563,52,78,16,89,32,18,15.54,3.53,15.56,0.92,9,57
10/24/2017 20:46:27,0,318,40,8.76,6.85,7.33,0.116,0.0602,0.592,263,309,441,-0.38,-0.48,623,15.65,9.34,5829,100,133,53,170,60,86,37.45,14.04,38.99,2.45,7,0
10/24/2017 21:05:10,0,183,31,5.79,5.87,6.47,0.019,0.0303,0.52,302,351,68,-0.23,-0.6,628,15.79,9.41,5921,20,34,8,14,21,11,2.5,0.92,2.51,0.08,8,40
10/24/2017 21:14:43,0,265,32,8.28,5.83,6.35,0.072,0.0447,0.509,276,328,398,-0.15,-0.52,631,15.88,9.45,5974,31,47,21,48,25,16,6.95,1.64,6.96,0.27,7,0
10/24/2017 21:51:55,1,180,30,9.7,6.15,5.68,0.035,0.0475,0.452,263,321,68,0.09,0.46,639,16.12,9.58,6125,19,28,20,32,13,13,1.53,0.36,1.54,0.08,7,43
10/25/2017 01:29:43,0,337,48,11.96,6.17,5.9,0.071,0.093,0.467,276,338,60,0.23,0.27,643,16.26,9.66,6216,56,89,28,103,37,35,10.31,3.79,10.65,1.04,8,46
10/25/2017 04:28:28,0,261,32,11.3,7.04,6.44,0.029,0.0656,0.528,279,315,57,-0.84,0.6,604,15.18,9.17,5547,72,97,28,105,57,51,8.48,6.71,10.04,0.9,6,61
10/25/2017 05:22:14,1,145,24,8.99,5.27,5.57,0.092,0.0402,0.46,283,315,371,-1.06,-0.3,598,14.96,9.04,5414,13,21,18,23,13,14,0.67,0.34,0.69,0.06,8,0
10/25/2017 08:21:50,1,161,25,10.08,6.9,6.52,0.058,0.0443,0.53,295,337,44,-0.61,0.38,612,15.42,9.28,5688,17,28,23,31,16,12,1.55,0.48,1.56,0.09,7,79
10/25/2017 15:51:47,0,180,28,6.15,6.48,5.84,-0.077,0.0292,0.469,299,350,51,-0.19,0.64,631,15.84,9.42,5951,8,13,8,19,10,4,0.9,0.16,0.9,0.03,7,66
10/25/2017 21:12:09,0,333,43,11.51,6.05,6.39,0.127,0.0875,0.52,302,342,60,-0.62,-0.34,612,15.41,9.28,5681,106,156,81,167,59,65,32.45,8.5,33.43,2.64,7,49
10/25/2017 22:06:15,0,143,23,8.94,5.52,5.93,0.061,0.0351,0.478,316,364,39,-0.29,-0.42,627,15.74,9.38,5886,11,19,8,33,9,12,1.38,0.24,1.38,0.08,9,84
10/26/2017 00:44:09,0,161,25,9.5,6.44,6.61,-0.046,0.0381,0.523,286,348,795,0.26,-0.17,643,16.28,9.67,6232,24,35,19,34,15,22,1.43,1.23,1.45,0.16,4,0
10/26/2017 01:29:37,0,300,40,11.89,5.94,5.92,0.016,0.0765,0.469,272,334,28,0.23,0.03,643,16.26,9.66,6216,42,64,18,78,23,25,6.54,1.94,6.66,0.6,7,118
10/26/2017 08:36:09,0,333,43,10.77,5.82,6.18,0.089,0.0827,0.506,304,341,28,-0.8,-0.37,606,15.23,9.18,5573,98,143,88,152,62,68,22.47,7.1,23.3,2.16,9,118
10/27/2017 02:09:19,1,275,40,11.07,7.4,7.29,0.087,0.0698,0.574,291,357,57,0.45,0.11,647,16.48,9.81,6356,70,104,72,99,50,76,24.37,15.83,28.87,1.45,7,80
10/27/2017 02:42:48,0,270,35,9.35,7.34,7.27,0.078,0.0517,0.572,272,338,484,0.42,0.07,647,16.45,9.79,6337,55,84,34,100,37,38,12.11,5.88,13.34,1.09,6,0
10/27/2017 03:48:21,1,299,40,11.46,5.42,5.84,0.05,0.0741,0.464,291,351,60,0.18,-0.43,640,16.21,9.65,6184,22,33,48,54,19,14,5.88,1.11,5.98,0.27,9,52
10/27/2017 04:17:05,1,175,28,8.08,4.76,5.22,-0.002,0.037,0.416,306,362,341,0.03,-0.46,637,16.05,9.54,6086,5,8,2,21,5,7,0.64,0.12,0.64,0.03,9,0
10/27/2017 04:51:58,1,282,32,10.8,6.22,6.72,0.023,0.0584,0.539,292,343,434,-0.18,-0.49,631,15.85,9.43,5956,51,79,70,95,27,35,16.72,5,17.03,0.81,7,0
10/27/2017 05:44:44,0,293,40,11.05,6.19,5.79,0.055,0.0767,0.469,258,301,61,-0.49,0.4,616,15.53,9.35,5760,45,60,9,92,32,24,6.6,2.37,6.71,0.55,8,50
