t_local,ship_inbound,ship_length,ship_width,ship_draft,ship_sp_abs,ship_sp_rel,ship_acc,ship_blockage,ship_Fr,ship_dist_inst,ship_dist_shore,track_raw_dx,tidal_stage,tidal_current_wrt_ship,channel_top_width,channel_max_depth,channel_mean_depth,channel_cs,depression,H,peak_vel_withship,peak_vel_agship,peak_vel_onshore,peak_vel_offshore,peak_Efmag_long,peak_Efmag_cross,peak_Efmag_total,wave_energy,track_raw_nMC,track_raw_nUSACE
10/10/2017 18:47:26,0,211,32,8.66,7.56,7.25,-0.127,0.0531,0.604,303,332,45,-1.33,0.31,592,14.7,8.88,5257,68,95,35,108,58,65,8.18,5.18,8.99,0.75,5,73
10/10/2017 20:02:35,0,260,32,10.67,7.03,6.83,-0.09,0.0646,0.567,279,309,76,-1.21,0.2,595,14.81,8.94,5326,134,163,57,149,92,79,16.95,9.4,18.67,2.41,7,38
10/10/2017 20:36:23,0,140,25,6.4,6.27,6.76,0.039,0.029,0.555,281,315,62,-0.88,-0.49,602,15.15,9.16,5524,11,11,2,26,14,9,1.5,0.29,1.5,0.08,5,47
10/10/2017 22:37:04,0,318,43,11.66,5.37,6.14,0.102,0.0806,0.487,295,356,408,0.22,-0.78,642,16.24,9.66,6206,55,81,25,97,25,17,20.15,3.4,20.19,1.46,6,2
10/11/2017 00:11:25,1,106,19,5.94,5.88,5.24,-0.029,0.0174,0.409,287,363,59,0.77,0.64,659,16.79,9.94,6564,2,3,5,4,4,2,0.12,0.04,0.13,0,7,51
10/11/2017 05:15:48,1,161,25,8.66,6.15,6.9,0.011,0.0385,0.563,288,327,41,-0.71,-0.75,609,15.32,9.23,5629,22,34,28,50,13,16,4.21,0.99,4.27,0.12,7,70
10/11/2017 09:46:13,1,200,32,11.28,5.85,5.11,0.067,0.0631,0.414,265,308,58,-0.48,0.74,616,15.54,9.36,5767,19,30,23,38,12,18,1.84,0.7,1.84,0.11,6,48
10/11/2017 15:02:15,0,183,32,6.25,6.28,5.72,0.057,0.0303,0.444,299,378,58,0.9,0.56,662,16.92,10.03,6649,13,22,17,21,6,10,1.85,0.64,1.87,0.07,7,48
10/11/2017 16:13:59,1,243,32,8.15,6,7.06,0.009,0.0416,0.557,282,346,67,0.38,-1.06,646,16.4,9.76,6309,22,36,35,44,13,13,7.12,1.41,7.25,0.21,8,41
10/12/2017 01:46:22,0,294,32,10.52,6,6.41,-0.038,0.0515,0.499,262,339,836,0.79,-0.41,660,16.82,9.96,6581,40,71,21,70,26,32,8.13,2.31,8.34,0.65,4,0
